country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
FRA,Direct,0,0,No Deposit,0,Transient,D,0,0,1
BEL,Online TA,0,2,No Deposit,0,Transient-Party,A,0,1,0
PRT,Groups,0,1,No Deposit,0,Transient-Party,E,0,0,1
MAR,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
PRT,Offline TA/TO,0,0,No Deposit,50,Transient-Party,D,0,0,0
PRT,Corporate,0,0,No Deposit,0,Transient,C,0,0,0
BOL,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
BRA,Online TA,0,0,No Deposit,0,Transient,C,0,0,1
ECU,Direct,0,0,No Deposit,0,Transient,A,0,0,0
ESP,Direct,0,1,No Deposit,0,Transient,D,0,0,0
DEU,Online TA,0,2,No Deposit,0,Transient,D,0,0,1
PRT,Direct,0,2,No Deposit,0,Transient,D,0,1,1
PRT,Offline TA/TO,0,2,No Deposit,0,Transient,C,0,0,1
FRA,Offline TA/TO,0,0,No Deposit,0,Group,D,0,1,0
GBR,Direct,0,3,No Deposit,0,Transient,A,0,0,0
PRT,Offline TA/TO,0,0,Non Refund,50,Transient,A,0,0,1
DEU,Groups,0,0,No Deposit,0,Contract,A,1,1,0
TJK,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
IRL,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
ESP,Online TA,0,1,No Deposit,0,Transient,A,0,4,0
RUS,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
IRN,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
PAN,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
BEL,Direct,0,1,No Deposit,0,Transient,D,0,2,0
PRT,Corporate,0,0,No Deposit,0,Transient-Party,A,1,1,0
GBR,Online TA,0,1,No Deposit,0,Transient,G,0,2,0
ECU,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
PRT,Online TA,2,0,No Deposit,0,Transient-Party,A,0,2,1
BEL,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
PRT,Online TA,0,3,No Deposit,0,Transient,G,0,0,0
AUT,Corporate,0,2,No Deposit,0,Transient-Party,E,1,0,0
ECU,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
CHN,Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
IND,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
DEU,Online TA,0,0,No Deposit,0,Transient,E,0,2,1
FRA,Online TA,0,2,No Deposit,0,Transient,A,1,3,0
BEL,Direct,0,0,No Deposit,0,Transient-Party,D,0,1,0
ESP,Corporate,0,1,No Deposit,0,Transient,A,0,0,0
PRT,Direct,0,1,No Deposit,0,Transient,G,0,0,0
SWE,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
PRT,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,3,0
PRT,Complementary,0,0,No Deposit,0,Transient-Party,A,0,1,0
ESP,Direct,0,1,No Deposit,0,Transient,B,1,0,0
ESP,Online TA,0,1,No Deposit,0,Transient,E,0,1,0
CHE,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
IRL,Online TA,0,3,Refundable,0,Transient,A,0,1,1
VEN,Online TA,0,0,No Deposit,0,Transient,H,0,0,1
LUX,Online TA,0,0,No Deposit,0,Transient,H,0,0,1
PRT,Online TA,0,0,No Deposit,0,Transient,C,1,0,0
PRT,Direct,0,1,No Deposit,0,Contract,A,0,1,0
ESP,Online TA,0,1,No Deposit,0,Transient,A,1,0,0
DZA,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
TWN,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
PHL,Online TA,0,0,No Deposit,0,Transient,A,1,1,0
DEU,Direct,0,2,No Deposit,0,Transient,F,0,0,0
PRT,Online TA,0,2,No Deposit,0,Transient-Party,G,0,1,0
CHN,Online TA,0,0,No Deposit,0,Transient,F,0,2,1
PRT,Offline TA/TO,0,0,No Deposit,14,Transient-Party,A,0,0,1
TUR,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
LCA,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
ARG,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
PRT,Groups,0,2,No Deposit,0,Transient-Party,A,1,0,0
BRA,Online TA,0,1,No Deposit,0,Transient,D,0,2,1
DEU,Online TA,0,1,No Deposit,0,Transient,A,0,2,1
MAR,Online TA,0,0,No Deposit,0,Transient,F,0,1,1
CHN,Online TA,0,0,No Deposit,0,Transient-Party,D,0,3,0
PRT,Offline TA/TO,0,0,No Deposit,0,Transient,B,0,0,1
NOR,Offline TA/TO,0,0,No Deposit,0,Transient,G,0,0,0
DEU,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,0,0
DNK,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
MAR,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
SRB,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
PRT,Offline TA/TO,0,2,No Deposit,0,Transient,E,0,1,0
TUR,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
NGA,Direct,0,0,No Deposit,0,Transient,D,0,0,1
ITA,Direct,0,3,No Deposit,0,Transient,A,1,0,0
USA,Direct,0,1,No Deposit,0,Transient,G,0,0,0
GBR,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,3,0
GBR,Groups,0,0,No Deposit,0,Transient-Party,A,1,1,0
BGR,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
DEU,Direct,0,1,No Deposit,0,Transient,A,0,0,1
PRT,Direct,0,0,No Deposit,0,Transient-Party,E,0,2,0
ESP,Offline TA/TO,0,0,No Deposit,0,Transient,A,1,0,0
PRT,Offline TA/TO,0,1,No Deposit,0,Contract,A,0,1,1
ESP,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,4,0
FRA,Online TA,0,0,No Deposit,0,Transient-Party,A,1,1,0
FRA,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,2,0
PRT,Corporate,1,1,No Deposit,0,Transient,D,1,2,0
FIN,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
CN,Online TA,0,0,No Deposit,0,Transient,A,1,0,0
CHE,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
PRT,Online TA,0,1,No Deposit,0,Transient,E,0,0,0
CN,Direct,0,0,No Deposit,0,Transient,A,0,3,0
USA,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,2,0
ESP,Direct,0,2,No Deposit,0,Transient,D,1,0,0
FRA,Online TA,0,0,No Deposit,0,Contract,A,1,2,0
PRT,Online TA,0,0,No Deposit,0,Contract,D,0,2,0
POL,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
MDV,Direct,0,0,No Deposit,0,Transient,F,0,0,1
BGR,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
CN,Direct,0,0,No Deposit,0,Transient,G,0,0,0
PRT,Direct,0,0,No Deposit,0,Transient-Party,F,0,0,0
CHE,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
ESP,Online TA,0,0,No Deposit,0,Transient,G,1,1,0
AUT,Online TA,0,3,No Deposit,0,Transient,A,0,0,1
FRA,Online TA,0,1,No Deposit,0,Transient,B,0,1,0
POL,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,1,0
LUX,Online TA,0,0,No Deposit,0,Transient,E,0,2,1
ITA,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
HUN,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
GBR,Online TA,0,1,No Deposit,0,Transient,B,0,0,1
ARG,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
IRL,Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
FRA,Groups,0,0,No Deposit,330,Transient-Party,A,0,0,0
CHE,Online TA,0,1,No Deposit,0,Transient,A,0,3,0
PRT,Groups,3,0,No Deposit,31,Transient-Party,A,0,0,1
PRT,Groups,0,0,No Deposit,174,Transient-Party,A,0,0,1
SWE,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
ESP,Corporate,0,2,No Deposit,0,Transient,A,0,0,0
PRT,Online TA,0,2,No Deposit,0,Group,D,0,1,0
GBR,Direct,0,2,No Deposit,0,Transient,A,0,2,0
SWE,Online TA,0,1,No Deposit,0,Transient,D,0,0,0
PRT,Online TA,1,0,No Deposit,0,Contract,D,0,2,1
PRT,Online TA,1,0,No Deposit,0,Transient,E,0,2,1
GBR,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
FRA,Groups,0,1,No Deposit,0,Transient,A,0,0,0
PRT,Direct,0,1,No Deposit,0,Transient-Party,D,0,0,0
BEL,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
CHE,Online TA,0,0,No Deposit,0,Transient,E,0,3,0
PRT,Offline TA/TO,0,1,No Deposit,111,Transient-Party,A,0,0,0
PRT,Online TA,1,0,No Deposit,0,Transient-Party,A,0,2,1
CHE,Online TA,0,1,No Deposit,0,Transient,B,0,1,0
GBR,Offline TA/TO,0,0,No Deposit,0,Contract,E,1,1,0
ESP,Online TA,0,2,No Deposit,0,Transient,D,0,0,1
MAR,Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
ESP,Online TA,0,1,No Deposit,0,Transient-Party,G,1,0,0
DNK,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
USA,Direct,0,0,No Deposit,0,Transient,F,1,0,0
BRA,Direct,0,0,No Deposit,0,Transient,C,0,0,0
PRT,Offline TA/TO,0,1,No Deposit,0,Transient-Party,D,0,0,0
AUS,Online TA,0,0,No Deposit,0,Transient,H,0,2,1
PRT,Direct,0,1,No Deposit,0,Transient,E,1,3,0
BGR,Online TA,0,0,No Deposit,0,Transient,F,0,1,0
PRT,Groups,0,0,No Deposit,0,Transient-Party,A,1,0,0
PRT,Corporate,0,0,No Deposit,0,Transient-Party,D,0,0,0
LUX,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
ISR,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
POL,Direct,0,3,No Deposit,0,Transient,C,0,0,0
ITA,Offline TA/TO,0,1,No Deposit,40,Transient-Party,A,0,0,0
BGD,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
ESP,Offline TA/TO,0,1,No Deposit,0,Transient,A,1,0,0
DEU,Groups,0,2,No Deposit,0,Transient-Party,A,0,1,0
TUR,Online TA,0,1,No Deposit,0,Transient,A,0,0,1
SWE,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
IND,Online TA,0,1,No Deposit,0,Transient,B,0,0,1
SYR,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
CN,Online TA,0,1,No Deposit,0,Transient,D,0,0,0
PRT,Complementary,0,2,No Deposit,0,Transient,A,0,1,0
ROU,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
ECU,Direct,0,1,No Deposit,0,Transient,A,0,1,0
PRT,Offline TA/TO,1,0,No Deposit,0,Contract,A,0,0,1
FRA,Direct,0,1,No Deposit,0,Transient,A,0,0,0
DNK,Direct,0,0,No Deposit,0,Transient,A,0,1,0
FRA,Offline TA/TO,0,0,No Deposit,108,Transient-Party,A,0,1,0
DEU,Online TA,0,1,No Deposit,0,Transient,G,1,0,0
GBR,Online TA,0,1,No Deposit,0,Group,D,0,0,0
GBR,Offline TA/TO,0,1,No Deposit,0,Transient,D,0,1,0
NLD,Online TA,0,2,No Deposit,0,Transient,D,0,2,0
CYP,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
GBR,Direct,0,2,No Deposit,0,Transient,E,0,4,1
PRT,Online TA,0,0,No Deposit,0,Transient,D,1,3,0
PRT,Direct,0,0,No Deposit,0,Transient,H,0,2,1
AUT,Online TA,0,1,No Deposit,0,Transient-Party,G,0,2,0
PRT,Online TA,0,1,No Deposit,0,Transient,G,0,0,0
NLD,Online TA,0,1,No Deposit,0,Transient,G,0,0,0
DEU,Offline TA/TO,0,0,No Deposit,0,Contract,D,1,0,0
PRT,Direct,0,2,No Deposit,0,Transient,A,1,0,0
RUS,Online TA,0,0,No Deposit,0,Contract,A,0,1,0
AGO,Direct,0,0,No Deposit,0,Transient,E,0,1,0
DEU,Online TA,0,1,No Deposit,0,Transient,E,0,4,0
GBR,Direct,0,0,No Deposit,0,Transient,A,0,3,1
IRL,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
PRT,Complementary,0,0,No Deposit,0,Transient,G,1,1,0
ESP,Online TA,0,0,No Deposit,0,Transient,F,1,0,0
PRT,Corporate,1,1,No Deposit,0,Transient,A,0,2,0
ITA,Direct,0,0,No Deposit,0,Transient-Party,E,0,1,0
GBR,Groups,0,1,Refundable,0,Transient-Party,A,0,0,0
ITA,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
ITA,Online TA,0,3,No Deposit,0,Transient,D,0,2,0
FIN,Direct,0,0,No Deposit,0,Transient,F,0,0,0
PRT,Offline TA/TO,0,1,No Deposit,22,Transient-Party,A,0,1,0
GBR,Direct,0,0,No Deposit,0,Transient,D,0,3,0
MAR,Direct,0,0,No Deposit,0,Transient,C,1,1,0
NOR,Online TA,0,2,No Deposit,0,Transient,D,0,0,0
PRT,Aviation,0,0,No Deposit,0,Transient,A,0,1,1
NZL,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
PRT,Offline TA/TO,0,0,No Deposit,0,Group,A,0,0,0
NOR,Direct,0,0,No Deposit,0,Transient-Party,D,0,0,0
PRT,Direct,0,0,No Deposit,0,Transient,D,1,3,0
GBR,Online TA,0,2,No Deposit,0,Transient,D,0,0,1
GBR,Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,0
IRL,Direct,0,0,No Deposit,0,Transient,E,0,0,1
CHN,Direct,0,0,No Deposit,0,Transient,E,0,0,0
ESP,Online TA,0,1,No Deposit,0,Transient,G,0,0,0
POL,Online TA,0,2,No Deposit,0,Transient,D,0,1,0
PRT,Offline TA/TO,0,0,No Deposit,0,Transient,C,0,1,0
ARE,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
CHE,Online TA,0,0,No Deposit,0,Transient,D,0,3,0
MEX,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
FRA,Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,1,0
PRT,Direct,0,2,No Deposit,0,Transient-Party,A,0,0,0
PRT,Offline TA/TO,0,0,No Deposit,0,Group,D,0,1,1
PRT,Corporate,1,0,No Deposit,0,Transient,A,1,1,0
BEL,Online TA,0,0,No Deposit,0,Transient,F,0,0,0
GBR,Online TA,0,0,No Deposit,0,Transient,H,0,3,0
CHN,Groups,0,0,No Deposit,0,Transient-Party,D,0,1,0
IRL,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
BEL,Online TA,0,0,No Deposit,0,Transient,B,0,0,0
PRT,Direct,0,2,No Deposit,0,Transient,E,0,3,0
FRA,Direct,0,1,No Deposit,0,Transient,F,1,1,0
GBR,Groups,0,2,No Deposit,0,Transient-Party,D,0,0,0
BRA,Online TA,0,0,No Deposit,0,Transient,F,0,1,1
ESP,Groups,0,1,No Deposit,0,Transient,A,0,0,0
NLD,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
BRA,Online TA,0,1,No Deposit,0,Transient,A,1,3,0
PRT,Groups,0,0,No Deposit,379,Transient-Party,A,0,0,1
SWE,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
PRT,Online TA,0,0,No Deposit,0,Transient,F,0,2,1
PRT,Online TA,0,0,No Deposit,0,Transient,D,1,0,0
FIN,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
PRT,Direct,0,2,No Deposit,0,Transient-Party,G,0,0,0
ESP,Online TA,0,2,No Deposit,0,Transient,H,1,0,0
BRA,Online TA,0,1,No Deposit,0,Transient,D,0,4,1
ITA,Direct,0,2,No Deposit,0,Group,A,0,0,0
TUR,Groups,0,0,No Deposit,0,Transient,A,0,1,0
FRA,Direct,0,0,No Deposit,0,Transient,A,0,0,1
PRT,Direct,1,1,No Deposit,0,Transient,A,0,4,0
NOR,Direct,0,1,No Deposit,0,Transient,D,0,3,0
DEU,Offline TA/TO,0,3,No Deposit,0,Transient,E,0,0,0
DEU,Online TA,0,0,No Deposit,0,Transient,G,1,0,0
FRA,Direct,0,2,No Deposit,0,Transient,B,0,0,1
AUT,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
BEL,Direct,0,1,No Deposit,0,Transient,A,1,2,0
PRT,Direct,0,0,No Deposit,0,Transient-Party,E,0,0,1
CZE,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
IRL,Direct,0,0,No Deposit,0,Transient,E,0,1,0
BEL,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
NLD,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
BEL,Online TA,0,1,No Deposit,0,Transient,E,1,2,0
ESP,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,2,0
HUN,Online TA,0,2,No Deposit,0,Transient,A,0,0,0
LTU,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
FRA,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
USA,Corporate,0,0,No Deposit,0,Transient-Party,A,0,1,0
EST,Online TA,0,0,No Deposit,0,Transient,F,0,2,1
FRA,Corporate,0,0,No Deposit,0,Transient-Party,D,0,0,0
BEL,Online TA,0,0,No Deposit,0,Transient,A,1,0,0
DEU,Online TA,0,2,No Deposit,0,Transient,D,0,0,0
GBR,Online TA,0,3,No Deposit,0,Transient,A,0,2,1
CHL,Online TA,0,0,No Deposit,0,Transient,H,0,0,1
NLD,Groups,0,0,Refundable,0,Transient-Party,A,0,0,0
PRT,Online TA,0,1,No Deposit,0,Transient,E,0,1,1
SGP,Online TA,0,0,No Deposit,0,Transient-Party,E,0,1,0
BRA,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,1,0
USA,Direct,0,1,No Deposit,0,Transient,A,1,1,0
ESP,Offline TA/TO,0,3,No Deposit,0,Transient,A,0,0,0
POL,Corporate,0,1,No Deposit,0,Transient-Party,A,0,1,0
IRL,Online TA,0,0,No Deposit,0,Transient,H,0,0,1
FIN,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
FRA,Groups,0,0,No Deposit,0,Transient,A,0,1,0
LVA,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
NLD,Online TA,0,1,No Deposit,0,Transient,B,0,2,0
IRL,Online TA,0,1,No Deposit,0,Transient,E,0,1,1
PRT,Online TA,0,8,No Deposit,0,Transient-Party,D,1,4,0
ZMB,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
PRT,Online TA,0,0,No Deposit,0,Transient,F,0,4,0
DEU,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,1,0
SWE,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
ESP,Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
NLD,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,2,0
SVN,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,1
PRT,Online TA,0,1,No Deposit,0,Contract,F,0,1,1
POL,Direct,0,0,No Deposit,0,Transient,G,0,0,1
CN,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
CHE,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
PRT,Online TA,0,0,No Deposit,0,Transient,C,0,0,0
BRA,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
PRT,Corporate,2,1,No Deposit,0,Transient,A,0,0,1
BRA,Offline TA/TO,0,2,No Deposit,0,Transient,A,0,0,0
PRT,Complementary,1,0,No Deposit,0,Transient,A,0,1,1
DNK,Direct,0,2,No Deposit,0,Transient,A,1,2,0
FRA,Online TA,0,5,No Deposit,0,Transient,A,0,0,0
NOR,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
LIE,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
NOR,Offline TA/TO,0,1,No Deposit,0,Transient,D,0,1,0
ITA,Direct,0,0,No Deposit,0,Transient-Party,A,0,0,0
CHE,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
COL,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
SWE,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
ESP,Online TA,0,0,No Deposit,0,Transient,E,1,0,0
CN,Online TA,0,0,No Deposit,0,Transient,D,1,1,0
DNK,Direct,0,0,No Deposit,0,Transient,A,0,0,0
MKD,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,1
DZA,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
GBR,Corporate,0,1,No Deposit,0,Transient-Party,C,1,0,0
USA,Online TA,0,0,No Deposit,0,Transient,F,1,1,0
BRA,Direct,0,1,No Deposit,0,Transient,A,0,0,0
PRT,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,1,1
PRT,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,3,0
IRL,Direct,0,0,No Deposit,0,Transient-Party,D,0,0,0
FRA,Online TA,0,2,No Deposit,0,Transient,A,1,0,0
PRT,Direct,0,4,No Deposit,0,Transient,C,0,0,0
IRL,Offline TA/TO,0,1,No Deposit,0,Transient,E,0,0,0
PRT,Corporate,0,1,No Deposit,0,Transient,D,0,1,0
ITA,Direct,0,0,No Deposit,0,Transient-Party,A,0,2,0
IRL,Online TA,0,0,No Deposit,0,Transient,D,0,4,0
LBN,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
FRA,Online TA,0,2,No Deposit,0,Transient-Party,A,1,1,0
IRL,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,1
DEU,Direct,0,1,No Deposit,0,Transient,D,0,0,0
GBR,Online TA,0,0,No Deposit,0,Transient,E,0,3,1
AUS,Online TA,0,0,No Deposit,0,Transient,D,0,2,1
AUT,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
CHN,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
NLD,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
BRA,Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
ECU,Online TA,0,0,No Deposit,0,Contract,A,1,1,0
DEU,Direct,0,0,No Deposit,107,Transient-Party,E,0,1,0
NLD,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
DEU,Online TA,0,2,No Deposit,0,Transient-Party,A,0,1,0
PRT,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,1,0,0
QAT,Direct,0,2,No Deposit,0,Transient-Party,A,0,0,0
THA,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
ESP,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
PRT,Online TA,0,5,No Deposit,0,Transient,D,0,2,0
BGR,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
ISR,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
CHN,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
DEU,Online TA,0,1,No Deposit,0,Transient,D,0,3,0
PRT,Online TA,0,3,No Deposit,0,Transient,A,0,0,1
PRT,Corporate,0,1,Non Refund,0,Transient-Party,E,0,0,0
PRT,Groups,0,0,Non Refund,75,Transient,A,0,0,1
DEU,Offline TA/TO,0,3,No Deposit,0,Transient-Party,A,0,0,0
POL,Online TA,11,0,No Deposit,0,Transient,A,0,1,0
ESP,Direct,0,2,No Deposit,0,Group,H,0,0,0
PRT,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,0,0
MNE,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
PRT,Direct,1,0,No Deposit,0,Transient,A,0,2,1
PRT,Groups,0,2,No Deposit,0,Transient-Party,D,0,0,0
ESP,Direct,0,0,No Deposit,0,Transient,A,0,0,1
KOR,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
PRT,Direct,0,2,No Deposit,0,Transient,C,0,0,0
DZA,Corporate,0,0,No Deposit,0,Transient,D,0,0,0
ITA,Online TA,0,0,No Deposit,0,Transient,H,1,1,0
PRT,Groups,0,0,No Deposit,96,Transient-Party,A,0,1,0
ESP,Direct,0,2,No Deposit,0,Transient,D,0,1,0
CN,Offline TA/TO,0,0,No Deposit,0,Transient-Party,E,0,0,0
CHE,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
ECU,Direct,0,0,No Deposit,0,Transient,A,1,0,0
NLD,Corporate,0,0,No Deposit,0,Transient,D,1,0,0
FRA,Online TA,0,0,No Deposit,0,Transient,G,0,2,1
BGR,Online TA,0,2,No Deposit,0,Transient,D,0,1,0
SWE,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
GBR,Online TA,0,5,No Deposit,0,Transient,A,0,1,0
FRA,Online TA,0,2,No Deposit,0,Transient,A,1,1,0
DNK,Complementary,0,0,No Deposit,0,Transient,A,0,0,0
USA,Online TA,0,0,No Deposit,0,Transient,C,0,1,0
ESP,Online TA,0,0,No Deposit,0,Transient-Party,E,1,1,0
BEL,Direct,0,1,No Deposit,0,Transient,G,1,1,0
USA,Direct,0,2,No Deposit,0,Transient,D,0,0,1
PRT,Corporate,1,0,No Deposit,0,Transient,D,0,2,0
CHE,Online TA,0,0,No Deposit,0,Transient,C,0,1,1
BEL,Online TA,0,0,No Deposit,0,Transient,A,1,1,0
CHE,Online TA,0,0,No Deposit,0,Transient,F,1,1,0
USA,Online TA,0,0,No Deposit,0,Transient,A,1,1,0
PRT,Online TA,0,0,Non Refund,0,Transient,A,0,0,1
ISR,Online TA,0,2,No Deposit,0,Transient,D,0,2,1
DEU,Direct,0,2,No Deposit,0,Transient,A,0,0,0
IRL,Online TA,0,5,No Deposit,0,Transient-Party,E,0,0,1
ITA,Offline TA/TO,0,0,No Deposit,111,Transient-Party,A,0,0,0
GBR,Online TA,0,2,No Deposit,0,Transient-Party,D,0,0,0
PRT,Online TA,1,0,No Deposit,0,Transient-Party,A,0,3,1
FRA,Online TA,0,1,No Deposit,0,Transient,A,1,0,0
FRA,Online TA,0,1,No Deposit,0,Transient,F,1,2,0
PRT,Complementary,0,0,No Deposit,0,Transient,E,0,2,0
FRA,Online TA,0,3,No Deposit,0,Transient,E,0,0,1
POL,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
USA,Direct,0,0,No Deposit,0,Transient,H,1,0,0
PRT,Corporate,6,1,No Deposit,0,Transient,A,0,2,0
GBR,Offline TA/TO,0,1,No Deposit,0,Contract,D,0,2,0
NLD,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
PRT,Offline TA/TO,0,0,No Deposit,0,Transient,A,1,2,0
BEL,Groups,0,0,No Deposit,0,Transient-Party,D,0,0,0
USA,Online TA,0,3,No Deposit,0,Transient,B,1,1,0
ESP,Online TA,0,0,No Deposit,0,Transient,A,1,3,0
GRC,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
PRT,Online TA,0,2,No Deposit,0,Transient,A,1,0,0
ROU,Online TA,0,3,No Deposit,0,Transient,D,0,1,0
GBR,Online TA,0,1,No Deposit,0,Contract,A,0,4,0
PRT,Corporate,0,2,No Deposit,0,Transient-Party,D,0,0,0
ARG,Online TA,0,1,No Deposit,0,Transient-Party,C,0,0,0
LVA,Offline TA/TO,0,2,No Deposit,63,Transient-Party,A,0,0,0
ESP,Direct,0,0,No Deposit,0,Transient,G,1,0,0
ITA,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
DEU,Offline TA/TO,0,0,No Deposit,147,Transient-Party,A,0,0,0
NLD,Direct,0,0,No Deposit,0,Transient,D,0,1,0
GBR,Direct,0,0,Refundable,0,Transient-Party,A,0,1,0
GBR,Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,0
HUN,Online TA,0,2,No Deposit,0,Transient-Party,D,0,2,0
