HallwayType,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,143362
terraced,Myung-duk,2,3,1,181,2006,4,1192,258407
terraced,Sin-nam,0,1,2,536,2006,5,818,180088
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,162831
corridor,Myung-duk,5,7,5,0,1992,3,355,79646
corridor,Banwoldang,0,3,2,108,2014,2,288,105309
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,379203
terraced,Sin-nam,0,3,2,475,2008,8,914,225663
terraced,Myung-duk,2,3,1,181,2006,4,903,216814
corridor,Myung-duk,5,7,5,0,1992,3,355,36283
mixed,Myung-duk,5,6,5,536,1993,4,1451,162831
terraced,Sin-nam,0,3,2,475,2008,8,829,254867
corridor,Myung-duk,5,7,5,0,1992,3,355,70796
terraced,Banwoldang,0,4,1,605,2007,5,1690,409734
corridor,Myung-duk,5,7,5,0,1992,3,576,57522
corridor,Myung-duk,5,7,5,0,1992,3,576,119469
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,318584
terraced,Banwoldang,0,2,2,524,2007,4,1366,260176
terraced,Sin-nam,0,3,2,475,2008,8,1167,343362
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,208849
mixed,Myung-duk,5,6,5,536,1993,4,644,84070
mixed,Bangoge,5,5,4,798,2005,7,914,150442
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,353097
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,231858
terraced,Myung-duk,2,3,1,181,2006,4,857,172566
corridor,Sin-nam,1,5,2,18,1986,3,910,194690
mixed,Bangoge,5,5,4,798,2005,7,743,142477
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,350442
corridor,no_subway_nearby,1,4,1,218,2014,1,135,55752
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,230088
terraced,Banwoldang,0,2,2,524,2007,4,914,252212
terraced,Myung-duk,2,3,1,181,2006,4,903,211061
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,460176
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,300884
terraced,Sin-nam,0,1,2,536,2006,5,818,171681
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,221238
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,423008
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,265442
terraced,Sin-nam,0,3,2,475,2008,8,829,292035
terraced,Banwoldang,0,4,1,605,2007,5,1483,393805
terraced,Banwoldang,0,4,1,605,2007,5,1690,347787
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,184955
terraced,Sin-nam,0,1,2,536,2006,5,914,256637
terraced,Banwoldang,0,4,1,605,2007,5,1334,337168
mixed,Bangoge,5,5,4,798,2005,7,1184,185840
mixed,Myung-duk,5,6,5,536,1993,4,914,130088
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,168141
terraced,Banwoldang,0,0,0,203,2014,10,914,357522
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,218584
mixed,Bangoge,5,5,4,798,2005,7,743,249557
corridor,Myung-duk,5,7,5,0,1992,3,576,57079
mixed,Myung-duk,5,6,5,536,1993,4,644,184955
mixed,Myung-duk,5,6,5,536,1993,4,914,249557
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,336283
terraced,Sin-nam,0,3,2,475,2008,8,1167,325221
mixed,Bangoge,5,5,4,798,2005,7,914,252212
terraced,no_subway_nearby,2,2,1,203,2009,5,910,157876
mixed,Myung-duk,5,6,5,536,1993,4,914,122123
terraced,Myung-duk,5,7,5,1174,2014,9,910,331858
mixed,Myung-duk,5,6,5,536,1993,4,914,128938
terraced,Banwoldang,0,2,2,524,2007,4,1103,197345
terraced,Myung-duk,2,3,1,181,2006,4,1192,353097
terraced,Banwoldang,0,0,0,203,2014,10,1252,451327
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,219469
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,448672
mixed,Myung-duk,5,6,5,536,1993,4,914,129203
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,398230
terraced,Banwoldang,0,4,1,605,2007,5,1444,394690
terraced,Myung-duk,5,7,5,1174,2014,9,914,365486
terraced,no_subway_nearby,0,1,1,1321,2015,10,1035,469026
mixed,Bangoge,5,5,4,798,2005,7,914,154867
terraced,Sin-nam,0,1,2,536,2006,5,1149,227876
terraced,Sin-nam,0,3,2,475,2008,8,1167,391150
terraced,Myung-duk,5,7,5,1174,2014,9,846,321238
mixed,Myung-duk,5,6,5,536,1993,4,644,147787
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,409734
mixed,Myung-duk,5,6,5,536,1993,4,914,138495
mixed,Myung-duk,5,6,5,536,1993,4,644,152212
terraced,Banwoldang,0,4,1,605,2007,5,1273,362831
terraced,Banwoldang,0,4,1,605,2007,5,1334,368141
terraced,Sin-nam,0,3,2,475,2008,8,914,230088
terraced,Banwoldang,0,2,2,524,2007,4,1394,291238
terraced,Banwoldang,0,2,2,524,2007,4,1394,286902
mixed,Bangoge,5,5,4,798,2005,7,914,218584
mixed,Bangoge,5,5,4,798,2005,7,572,117699
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,428318
terraced,Sin-nam,0,3,2,475,2008,8,829,238938
mixed,Myung-duk,5,6,5,536,1993,4,914,123893
mixed,Bangoge,5,5,4,798,2005,7,572,190265
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,145132
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,350008
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,196902
corridor,no_subway_nearby,1,4,1,218,2014,1,156,67256
terraced,Sin-nam,0,1,2,536,2006,5,914,205309
terraced,Sin-nam,0,1,2,536,2006,5,1743,365486
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,201769
corridor,no_subway_nearby,1,4,1,218,2014,1,135,60176
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,377876
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,358407
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,260176
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,191938
corridor,Banwoldang,0,3,2,108,2014,2,273,84070
mixed,Bangoge,5,5,4,798,2005,7,572,156637
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,377433
terraced,Myung-duk,5,7,5,1174,2014,9,846,300884
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,254123
mixed,Myung-duk,5,6,5,536,1993,4,1761,352212
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,172123
mixed,Myung-duk,5,6,5,536,1993,4,644,170796
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,128318
mixed,Myung-duk,1,5,4,79,1992,3,644,77876
terraced,Sin-nam,0,3,2,475,2008,8,914,233185
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,292035
terraced,Myung-duk,5,7,5,1174,2014,9,914,323008
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,353982
terraced,Myung-duk,2,3,1,181,2006,4,903,208584
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,152212
mixed,Bangoge,5,5,4,798,2005,7,743,206637
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,426,101548
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,255752
mixed,Bangoge,5,5,4,798,2005,7,572,162389
terraced,Sin-nam,0,3,2,475,2008,8,1167,214159
terraced,no_subway_nearby,2,2,1,203,2009,5,910,207044
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,295575
terraced,Myung-duk,2,3,1,181,2006,4,903,272123
corridor,no_subway_nearby,1,4,1,218,2014,1,135,35398
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,247787
terraced,Myung-duk,2,3,1,181,2006,4,903,206194
mixed,Bangoge,5,5,4,798,2005,7,914,238053
mixed,Bangoge,5,5,4,798,2005,7,914,269026
terraced,Banwoldang,0,2,2,524,2007,4,914,220353
mixed,Myung-duk,5,6,5,536,1993,4,914,169911
mixed,Myung-duk,1,5,4,79,1992,3,644,154867
corridor,Myung-duk,5,7,5,0,1992,3,640,65486
mixed,Myung-duk,5,6,5,536,1993,4,914,115044
corridor,Myung-duk,5,7,5,0,1992,3,644,65486
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,353982
corridor,Banwoldang,0,3,2,108,2014,2,288,108849
mixed,Myung-duk,5,6,5,536,1993,4,914,146902
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,1327,312389
mixed,Myung-duk,5,6,5,536,1993,4,914,159292
terraced,Sin-nam,0,1,2,536,2006,5,818,240707
mixed,Myung-duk,5,6,5,536,1993,4,1451,150442
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,353982
mixed,Bangoge,5,5,4,798,2005,7,743,142035
terraced,Sin-nam,0,1,2,536,2006,5,818,253097
terraced,Banwoldang,0,2,2,524,2007,4,1394,265486
terraced,Myung-duk,5,7,5,1174,2014,9,644,274336
mixed,Bangoge,5,5,4,798,2005,7,572,131858
terraced,no_subway_nearby,2,2,1,203,2009,5,910,175221
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,288495
terraced,Myung-duk,5,7,5,1174,2014,9,644,190265
terraced,Banwoldang,0,2,2,524,2007,4,1419,315929
mixed,Bangoge,5,5,4,798,2005,7,743,184070
mixed,Bangoge,5,5,4,798,2005,7,572,161504
terraced,Myung-duk,5,7,5,1174,2014,9,914,344690
mixed,Myung-duk,1,5,4,79,1992,3,914,107079
terraced,Sin-nam,0,3,2,475,2008,8,829,279203
terraced,Myung-duk,5,7,5,1174,2014,9,1088,415929
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,150442
terraced,Banwoldang,0,0,0,203,2014,10,914,367256
terraced,Sin-nam,0,1,2,536,2006,5,1743,449557
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,364159
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,398230
terraced,Myung-duk,5,7,5,1174,2014,9,910,358407
terraced,Banwoldang,0,2,2,524,2007,4,1394,254867
mixed,Bangoge,5,5,4,798,2005,7,572,154867
terraced,Sin-nam,0,3,2,475,2008,8,829,246017
terraced,Banwoldang,0,2,2,524,2007,4,1103,230088
mixed,Bangoge,5,5,4,798,2005,7,572,206637
terraced,Sin-nam,0,1,2,536,2006,5,914,282300
mixed,Chil-sung-market,1,7,3,56,1997,5,558,126548
corridor,Myung-duk,5,7,5,0,1992,3,355,38053
mixed,Myung-duk,5,6,5,536,1993,4,644,172566
terraced,Sin-nam,0,3,2,475,2008,8,914,181415
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,211504
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,396460
terraced,no_subway_nearby,2,2,1,203,2009,5,910,203646
corridor,Myung-duk,5,7,5,0,1992,3,640,141150
corridor,Daegu,2,5,0,76,1985,3,587,61061
mixed,Bangoge,5,5,4,798,2005,7,1184,225663
terraced,Banwoldang,0,4,1,605,2007,5,1273,376106
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,320353
mixed,Bangoge,5,5,4,798,2005,7,743,224336
mixed,Bangoge,5,5,4,798,2005,7,743,169911
terraced,Banwoldang,0,4,1,605,2007,5,1483,360176
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,361061
terraced,Banwoldang,0,0,0,203,2014,10,914,353982
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,212389
mixed,Myung-duk,5,6,5,536,1993,4,1761,203539
mixed,Bangoge,5,5,4,798,2005,7,572,200884
corridor,Banwoldang,0,3,2,108,2014,2,277,95221
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,779,172566
terraced,Sin-nam,0,1,2,536,2006,5,818,215044
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,292035
mixed,Bangoge,5,5,4,798,2005,7,914,157522
mixed,Myung-duk,5,6,5,536,1993,4,914,123451
terraced,Sin-nam,0,3,2,475,2008,8,914,327433
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,245575
terraced,Sin-nam,0,1,2,536,2006,5,914,253982
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,323389
mixed,Myung-duk,5,6,5,536,1993,4,914,172566
corridor,Daegu,2,5,0,76,1985,3,676,72123
mixed,Myung-duk,5,6,5,536,1993,4,914,143362
terraced,Myung-duk,2,3,1,181,2006,4,903,222123
corridor,Myung-duk,5,7,5,0,1992,3,640,116814
terraced,Myung-duk,5,7,5,1174,2014,9,843,323008
terraced,Banwoldang,0,2,2,524,2007,4,1394,223893
mixed,Bangoge,5,5,4,798,2005,7,743,239823
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,349557
terraced,Daegu,0,3,2,400,2015,7,644,278761
mixed,Myung-duk,5,6,5,536,1993,4,914,250000
terraced,Sin-nam,0,3,2,475,2008,8,829,255752
terraced,Sin-nam,0,1,2,536,2006,5,1437,256637
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,300884
mixed,Myung-duk,5,6,5,536,1993,4,644,91150
corridor,Daegu,2,5,0,76,1985,3,587,131415
terraced,Myung-duk,2,3,1,181,2006,4,903,168141
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,143238
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,322123
mixed,Myung-duk,5,6,5,536,1993,4,644,91592
terraced,Banwoldang,0,2,2,524,2007,4,914,287610
terraced,Banwoldang,0,2,2,524,2007,4,1103,225663
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,296460
terraced,Banwoldang,0,4,1,605,2007,5,1444,406194
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,408849
mixed,Myung-duk,5,6,5,536,1993,4,914,106194
mixed,Bangoge,5,5,4,798,2005,7,572,141592
terraced,Myung-duk,5,7,5,1174,2014,9,907,340707
mixed,Myung-duk,5,6,5,536,1993,4,644,117699
mixed,Bangoge,5,5,4,798,2005,7,914,154424
corridor,Sin-nam,1,5,2,18,1986,3,910,150442
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,243362
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,300884
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,174336
terraced,Myung-duk,2,3,1,181,2006,4,903,210619
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,147787
terraced,Sin-nam,0,3,2,475,2008,8,829,161946
corridor,Myung-duk,5,7,5,0,1992,3,576,64601
corridor,Banwoldang,0,3,2,108,2014,2,288,98761
corridor,Myung-duk,5,7,5,0,1992,3,644,95132
terraced,Sin-nam,0,1,2,536,2006,5,914,324778
corridor,Daegu,2,5,0,76,1985,3,498,61946
mixed,Myung-duk,5,6,5,536,1993,4,914,119469
terraced,no_subway_nearby,2,2,1,203,2009,5,910,201672
mixed,Myung-duk,5,6,5,536,1993,4,644,83185
corridor,Myung-duk,5,7,5,0,1992,3,576,63716
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,302654
terraced,no_subway_nearby,2,2,1,203,2009,5,910,187610
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,371681
corridor,Myung-duk,5,7,5,0,1992,3,576,60176
terraced,Sin-nam,0,1,2,536,2006,5,1412,371681
terraced,Sin-nam,0,1,2,536,2006,5,1412,323893
mixed,Bangoge,5,5,4,798,2005,7,572,97345
corridor,Daegu,2,5,0,76,1985,3,587,55752
terraced,Myung-duk,5,7,5,1174,2014,9,843,292035
terraced,no_subway_nearby,2,2,1,203,2009,5,910,190265
mixed,Bangoge,5,5,4,798,2005,7,914,270796
mixed,Myung-duk,5,6,5,536,1993,4,1761,212389
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,181415
terraced,Banwoldang,0,2,2,524,2007,4,1366,281592
terraced,Banwoldang,0,4,1,605,2007,5,1690,465486
terraced,Myung-duk,5,7,5,1174,2014,9,640,262831
mixed,Myung-duk,5,6,5,536,1993,4,914,150442
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,415929
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,318584
terraced,Banwoldang,0,4,1,605,2007,5,1273,317699
corridor,Myung-duk,5,7,5,0,1992,3,355,69026
corridor,Myung-duk,5,7,5,0,1992,3,576,138053
mixed,Bangoge,5,5,4,798,2005,7,572,195575
mixed,Chil-sung-market,1,7,3,56,1997,5,644,86725
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,265486
corridor,Myung-duk,5,7,5,0,1992,3,355,51327
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,181415
terraced,Sin-nam,0,1,2,536,2006,5,1412,396460
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,238938
terraced,Sin-nam,0,3,2,475,2008,8,914,234513
mixed,Bangoge,5,5,4,798,2005,7,743,199115
corridor,Sin-nam,1,5,2,18,1986,3,508,108849
terraced,Sin-nam,0,3,2,475,2008,8,914,236283
mixed,Myung-duk,5,6,5,536,1993,4,914,127433
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,508849
terraced,Myung-duk,2,3,1,181,2006,4,903,279646
terraced,Banwoldang,0,4,1,605,2007,5,1444,295575
corridor,Sin-nam,1,5,2,18,1986,3,508,108407
terraced,Sin-nam,0,1,2,536,2006,5,1412,265486
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,312389
terraced,Banwoldang,0,2,2,524,2007,4,1366,290000
mixed,Bangoge,5,5,4,798,2005,7,1184,201769
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,360176
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,233628
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,296460
terraced,Banwoldang,0,4,1,605,2007,5,1483,387610
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,199115
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,309734
mixed,Myung-duk,5,6,5,536,1993,4,1451,163716
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,215486
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,209734
mixed,Myung-duk,5,6,5,536,1993,4,914,222123
mixed,Myung-duk,5,6,5,536,1993,4,914,246017
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,779,201769
terraced,no_subway_nearby,0,1,1,1321,2015,10,1035,455752
terraced,Banwoldang,0,4,1,605,2007,5,1334,357522
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,284070
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,130088
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,209734
mixed,Bangoge,5,5,4,798,2005,7,572,202654
mixed,Myung-duk,5,6,5,536,1993,4,914,121238
terraced,Myung-duk,5,7,5,1174,2014,9,907,327433
terraced,Myung-duk,5,7,5,1174,2014,9,910,333628
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,283185
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,184955
terraced,Sin-nam,0,1,2,536,2006,5,1437,247787
terraced,Sin-nam,0,1,2,536,2006,5,1412,432743
corridor,Myung-duk,5,7,5,0,1992,3,355,35840
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,246017
terraced,no_subway_nearby,0,1,1,1321,2015,10,914,407079
mixed,Bangoge,5,5,4,798,2005,7,914,152212
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,141884
terraced,Sin-nam,0,3,2,475,2008,8,829,203539
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,257654
mixed,Myung-duk,5,6,5,536,1993,4,1288,309734
terraced,Myung-duk,2,3,1,181,2006,4,903,153097
mixed,Bangoge,5,5,4,798,2005,7,914,159292
terraced,Myung-duk,5,7,5,1174,2014,9,640,274336
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,256637
terraced,Banwoldang,0,2,2,524,2007,4,1103,221238
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,168141
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,345902
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,178761
terraced,Myung-duk,2,3,1,181,2006,4,903,160176
mixed,Bangoge,5,5,4,798,2005,7,743,178761
terraced,Banwoldang,0,4,1,605,2007,5,1483,408849
mixed,Myung-duk,5,6,5,536,1993,4,914,165486
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,140380
terraced,Sin-nam,0,1,2,536,2006,5,1743,340707
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,268141
mixed,Myung-duk,5,6,5,536,1993,4,1761,309734
terraced,Banwoldang,0,2,2,524,2007,4,1394,362831
terraced,Sin-nam,0,1,2,536,2006,5,1412,262831
mixed,Myung-duk,5,6,5,536,1993,4,644,99115
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,392920
terraced,Banwoldang,0,2,2,524,2007,4,1103,269911
corridor,Myung-duk,5,7,5,0,1992,3,355,70353
terraced,Myung-duk,2,3,1,181,2006,4,903,297787
terraced,Myung-duk,5,7,5,1174,2014,9,846,325221
mixed,Myung-duk,1,5,4,79,1992,3,644,107964
terraced,Myung-duk,5,7,5,1174,2014,9,843,335398
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,149292
mixed,Myung-duk,1,5,4,79,1992,3,644,92920
terraced,no_subway_nearby,2,2,1,203,2009,5,910,230088
mixed,Myung-duk,5,6,5,536,1993,4,914,247787
mixed,Myung-duk,5,6,5,536,1993,4,914,228318
mixed,Myung-duk,5,6,5,536,1993,4,914,231858
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,334513
corridor,Myung-duk,5,7,5,0,1992,3,576,74336
terraced,no_subway_nearby,0,1,1,1321,2015,10,914,384955
corridor,Myung-duk,5,7,5,0,1992,3,355,68141
corridor,Myung-duk,5,7,5,0,1992,3,640,74778
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,207079
terraced,Sin-nam,0,1,2,536,2006,5,1149,300884
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,210619
mixed,Bangoge,5,5,4,798,2005,7,743,193805
terraced,Sin-nam,0,1,2,536,2006,5,818,165486
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,243362
terraced,Sin-nam,0,1,2,536,2006,5,1743,274336
mixed,Myung-duk,5,6,5,536,1993,4,644,157964
mixed,Bangoge,5,5,4,798,2005,7,743,189115
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,207964
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,264159
terraced,Sin-nam,0,3,2,475,2008,8,914,254867
corridor,Sin-nam,1,5,2,18,1986,3,508,65486
terraced,Sin-nam,0,1,2,536,2006,5,1437,346902
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,179646
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,188265
mixed,Myung-duk,5,6,5,536,1993,4,1451,176991
mixed,Myung-duk,1,5,4,79,1992,3,914,184955
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,338053
mixed,Chil-sung-market,1,7,3,56,1997,5,644,88495
mixed,Bangoge,5,5,4,798,2005,7,743,148672
terraced,Sin-nam,0,1,2,536,2006,5,1412,273451
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,178318
terraced,Sin-nam,0,1,2,536,2006,5,1149,294690
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,166371
mixed,Bangoge,5,5,4,798,2005,7,743,147787
terraced,Sin-nam,0,3,2,475,2008,8,829,164601
corridor,Myung-duk,5,7,5,0,1992,3,355,49557
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,394690
mixed,Myung-duk,5,6,5,536,1993,4,644,162743
terraced,Myung-duk,2,3,1,181,2006,4,903,296460
corridor,Sin-nam,1,5,2,18,1986,3,508,84070
mixed,Myung-duk,5,6,5,536,1993,4,644,82743
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,207964
mixed,Chil-sung-market,1,7,3,56,1997,5,644,63716
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,262831
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,156637
mixed,Bangoge,5,5,4,798,2005,7,743,241592
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,328318
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,292035
mixed,Chil-sung-market,1,7,3,56,1997,5,558,66371
mixed,Myung-duk,5,6,5,536,1993,4,644,159292
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,398230
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,180530
terraced,Myung-duk,2,3,1,181,2006,4,903,199115
mixed,Chil-sung-market,1,7,3,56,2003,5,907,175221
mixed,Myung-duk,1,5,4,79,1992,3,914,106194
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,330973
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,141592
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,486725
mixed,Bangoge,5,5,4,798,2005,7,572,151327
mixed,Myung-duk,5,6,5,536,1993,4,1451,174336
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,464601
terraced,Sin-nam,0,3,2,475,2008,8,829,230088
terraced,Banwoldang,0,2,2,524,2007,4,1103,256637
terraced,Sin-nam,0,1,2,536,2006,5,1412,288495
corridor,Myung-duk,5,7,5,0,1992,3,576,132743
terraced,Banwoldang,0,2,2,524,2007,4,1103,209911
corridor,Myung-duk,5,7,5,0,1992,3,640,119469
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,184070
mixed,Myung-duk,1,5,4,79,1992,3,1448,274336
terraced,no_subway_nearby,0,1,1,1321,2015,10,914,380530
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,389380
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,327433
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,314159
mixed,Bangoge,5,5,4,798,2005,7,743,124778
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,291150
mixed,Bangoge,5,5,4,798,2005,7,1184,280530
corridor,Myung-duk,5,7,5,0,1992,3,355,35398
terraced,Sin-nam,0,1,2,536,2006,5,1743,332743
mixed,Bangoge,5,5,4,798,2005,7,914,171681
terraced,Sin-nam,0,1,2,536,2006,5,1743,307964
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,205309
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,200221
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,146017
mixed,Myung-duk,5,6,5,536,1993,4,914,219469
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,279646
terraced,Sin-nam,0,1,2,536,2006,5,914,283185
terraced,Banwoldang,0,4,1,605,2007,5,1483,380530
